,Bal,Brick,Dist,Flat URL,Floor,Kitsp,Livesp,Metrdist,N,New,Nfloor,Price,Rooms,Tel,Totsp,Walk
2666,,1,13.118359137153845,43369704,5,2.0,13.0,12.0,2666,0,6.0,3600000.0,1,,15.0,1.0
2667,0.0,1,11.597792661325641,24503572,1,,14.0,10.0,2667,0,3.0,3600000.0,1,0.0,16.0,0.0
2668,,1,13.118359137153845,47093572,1,2.0,14.4,20.0,2668,0,6.0,3600000.0,9,0.0,16.4,1.0
2669,,1,13.118359137153845,47666464,3,2.0,14.2,16.0,2669,0,6.0,3650000.0,9,0.0,16.2,1.0
2670,,1,13.118359137153845,150871186,2,,14.0,10.0,2670,0,5.0,3650000.0,9,1.0,16.4,1.0
2671,,1,9.126998521650847,149772232,5,4.0,17.0,15.0,2671,0,5.0,3800000.0,1,,24.5,1.0
2672,,1,10.787906450293638,148646744,5,4.5,19.0,15.0,2672,0,5.0,3950000.0,1,,27.0,1.0
2673,1.0,1,15.930763692259971,50164795,22,10.0,22.0,5.0,2673,1,25.0,3990000.0,1,,49.0,0.0
2674,,0,12.974863856421011,149006586,1,7.0,24.0,18.0,2674,0,14.0,4000000.0,2,,38.2,1.0
2675,,0,9.126998521650847,150444898,5,4.0,16.0,12.0,2675,0,5.0,4100000.0,1,,24.0,1.0
2676,,1,9.126998521650847,150445217,5,4.0,16.0,15.0,2676,0,5.0,4100000.0,1,,24.0,1.0
2677,,0,15.544831235645955,146147955,1,6.5,32.0,10.0,2677,0,2.0,4100000.0,2,,46.0,0.0
2678,,0,10.854626861471594,150339219,5,4.5,14.0,14.0,2678,0,5.0,4150000.0,1,,24.0,1.0
2679,1.0,0,13.473844585660192,149948858,2,9.0,18.0,10.0,2679,0,10.0,4200000.0,1,,36.0,0.0
2680,1.0,0,9.267435048474253,150961041,5,6.0,19.0,23.0,2680,0,5.0,4300000.0,1,1.0,31.0,1.0
2681,,1,10.030751573277437,150976210,1,5.7,17.0,10.0,2681,0,5.0,4300000.0,1,1.0,28.4,1.0
2682,,0,13.488062434512115,149948712,1,9.3,21.0,10.0,2682,0,12.0,4400000.0,1,1.0,40.0,0.0
2683,1.0,0,10.402490281833314,150567542,5,6.0,21.0,10.0,2683,0,5.0,4400000.0,1,1.0,32.0,1.0
2684,1.0,1,13.948495731346004,149775423,5,6.0,19.4,29.0,2684,0,9.0,4400000.0,1,1.0,33.0,1.0
2685,,0,11.233551653961982,150278439,1,6.0,21.4,14.0,2685,0,9.0,4400000.0,1,1.0,31.7,1.0
2686,1.0,0,13.53193389410331,143310483,9,7.0,20.9,10.0,2686,0,9.0,4450000.0,1,1.0,34.7,0.0
2687,1.0,1,10.195469450725366,149136079,3,5.4,20.1,,2687,0,5.0,4500000.0,1,,32.7,
2688,,0,13.11646685081982,149886464,2,10.0,31.0,18.0,2688,0,12.0,7000000.0,2,1.0,52.0,1.0
2689,,0,4.334480625677356,150927927,7,8.0,42.0,3.0,2689,0,7.0,12300000.0,2,,65.7,1.0
2690,2.0,0,17.854571851476653,49927783,6,13.0,34.0,,2690,0,17.0,9000000.0,2,0.0,60.0,
2691,,0,12.427665933606768,151016778,1,,40.0,10.0,2691,0,9.0,2950000.0,9,1.0,45.0,1.0
2692,1.0,1,7.086259697243996,150692460,5,2.0,9.0,15.0,2692,0,5.0,3050000.0,1,1.0,13.0,1.0
2693,,1,12.20594594284722,148985302,3,1.0,9.0,5.0,2693,0,5.0,3300000.0,1,1.0,13.3,1.0
2694,,1,13.118359137153845,43369704,5,2.0,13.0,12.0,2694,0,6.0,3600000.0,1,,15.0,1.0
2695,0.0,1,11.597792661325641,24503572,1,,14.0,10.0,2695,0,3.0,3600000.0,1,0.0,16.0,0.0
2696,,1,13.118359137153845,47093572,1,2.0,14.4,20.0,2696,0,6.0,3600000.0,9,0.0,16.4,1.0
2697,,1,13.118359137153845,47666464,3,2.0,14.2,16.0,2697,0,6.0,3650000.0,9,0.0,16.2,1.0
2698,,1,13.118359137153845,150871186,2,,14.0,10.0,2698,0,5.0,3650000.0,9,1.0,16.4,1.0
2699,,1,9.126998521650847,149772232,5,4.0,17.0,15.0,2699,0,5.0,3800000.0,1,,24.5,1.0
2700,,1,10.787906450293638,148646744,5,4.5,19.0,15.0,2700,0,5.0,3950000.0,1,,27.0,1.0
2701,1.0,1,15.930763692259971,50164795,22,10.0,22.0,5.0,2701,1,25.0,3990000.0,1,,49.0,0.0
2702,,0,12.974863856421011,149006586,1,7.0,24.0,18.0,2702,0,14.0,4000000.0,2,,38.2,1.0
2703,,0,9.126998521650847,150444898,5,4.0,16.0,12.0,2703,0,5.0,4100000.0,1,,24.0,1.0
2704,,1,9.126998521650847,150445217,5,4.0,16.0,15.0,2704,0,5.0,4100000.0,1,,24.0,1.0
2705,,0,15.544831235645955,146147955,1,6.5,32.0,10.0,2705,0,2.0,4100000.0,2,,46.0,0.0
2706,,0,10.854626861471594,150339219,5,4.5,14.0,14.0,2706,0,5.0,4150000.0,1,,24.0,1.0
2707,1.0,0,13.473844585660192,149948858,2,9.0,18.0,10.0,2707,0,10.0,4200000.0,1,,36.0,0.0
2708,1.0,0,9.267435048474253,150961041,5,6.0,19.0,23.0,2708,0,5.0,4300000.0,1,1.0,31.0,1.0
2709,,1,10.030751573277437,150976210,1,5.7,17.0,10.0,2709,0,5.0,4300000.0,1,1.0,28.4,1.0
2710,,0,13.488062434512115,149948712,1,9.3,21.0,10.0,2710,0,12.0,4400000.0,1,1.0,40.0,0.0
